id,band,title,year
848,1549,Agony of Damnation,2015
849,1562,Seeming Paradise,1997
850,1562,Delusion,1999
851,1567,In the Midst of Life We Are in Death,2013
852,1569,Death Shall Set Us Free,2005
853,1571,Tyranny from Above,1993
854,1576,6 horas,2007
855,1579,Zombie Holocaust,2009
856,1579,Under a Pale Sun Cadavers Rot,2012
857,1582,Repugnant Obsession,2004
858,1582,Corpse Fixation,2005
859,1582,Exhuming the Mephitic Deceased,2005
860,1582,Sanguinary Disseverance,2005
861,1582,Zombie Decimation,2005
862,1582,Blood| Gore| and Grindcore,2005
863,1582,Punishment by Dismemberment,2005
864,1582,Obliteration,2005
865,1582,Malodorous Decomposition,2005
866,1582,Remnants of the Slaughtered,2006
867,1582,Putrescent Corpus Delicti,2006
868,1582,River of Blood and Viscera,2006
869,1582,The Devils Carnage,2007
870,1582,Mutilate the Decapitated,2009
871,1582,Eviscerated by a Ravenous Cannibal,2009
872,1582,Sodomized by the Saw,2010
873,1582,My Chainsaw Still Executes,2012
874,1582,Macabre Massacre,2012
875,1583,Lost,1997
876,1585,Behead Before Interment,2012
877,1585,Entorturement,2013
878,1585,Cadaverous Omen,2016
879,1586,Helegante,2013
880,1588,Opium,2004
881,1588,Rezzonation,2007
882,1588,Infra,2010
883,1590,Collision with Oblivion,2009
884,1590,The Abrogation,2012
885,1593,Brutal,2004
886,1600,Spreading Death,2010
887,1601,The Curse,2014
888,1603,Summoning Black Gods,2012
889,1603,The Mysterious Ways of Repetitive Art,2015
890,1605,Symphonies of Blasphemy,1994
891,1606,Humanicide,2011
892,1607,Origin of the Evil,2002
893,1610,Resurrection,1993
894,1610,Scraps of a Being,2000
895,1610,Third Wound,2011
896,1612,Hedor inhumano,2012
897,1613,Where There's Shit There's Bound to Be Flies,2005
898,1614,The Taste of Flesh,2005
899,1623,1134,2000
900,1624,Justify Your Existence,2010
901,1625,Dawn of Fury,2012
902,1627,Doomed,2006
903,1627,Dream of the Dead,2007
904,1627,Wind of Infections,2008
905,1627,Demons of Chaos,2009
906,1628,In Death as It Was in Life,2003
907,1628,Untitled,2003
908,1628,49 Minute Killing Spree,2006
909,1628,Knee Deep in Maggots,2007
910,1630,D.N.A.,1999
911,1632,Le dernier crépuscule,2016
912,1633,Xul of Lewd Midian,2000
913,1634,Chtonian Lifecode,2004
914,1634,The Devil Builds,2012
915,1635,Iconos de destrucción,2008
916,1638,Unworldly Summoning,2014
917,1638,Veneration of Filth,2016
918,1648,Lazaret of the Abyss,2010
919,1648,Morbid Curiosity,2012
920,1649,Centuries of Silence,1998
921,1650,The Last Days of Ouroboros,2008
922,1650,Subterranean Antiquity,2014
923,1651,...and I Saw Red,1994
924,1652,Divinikon Chaos,2005
925,1653,When Dementia Sets In,2005
926,1654,Alcoholic Death Noise,2002
927,1654,Drinks from Hell,2008
928,1655,Satanation,2015
929,1656,Ravaging the Purity,2009
930,1659,Biological Cacophony,2013
931,1659,Slaughter Campaign,2016
932,1660,Absorbed in the Nethervoid,2009
933,1661,Spiritual Domination,1999
934,1661,Divine Legions at War,2004
935,1662,Gratum Inferno,2013
936,1664,7,2007
937,1667,Fairy Tales,2010
938,1670,The Barbaric Reshaping of Flesh,2003
939,1671,Devil Revolution,2003
940,1671,Tortured by Eternal Dream,2005
941,1671,Solis Impulsio,2012
942,1672,Dying Breed,2009
943,1672,Observations of Humanity,2015
944,1673,Excruciation,2011
945,1676,Dominions of Our Deceitful Beliefs,2013
946,1679,Forever Dead,1997
947,1679,Delete,1999
948,1681,Corpse,2002
949,1681,Resurrection,2015
950,1685,Fuck Christmas,2009
951,1687,Manifestation of Inner Darkness,2016
952,1690,Gods of Creation| Death & Afterlife,2000
953,1690,The Tomb of Infinite Ritual,2012
954,1692,In Eerie Slumber,2015
955,1695,Drawn and Quartered,1996
956,1695,Reflections of Madness,2006
957,1696,Infernal,1996
958,1696,Rumbling Tumbling Death,1997
959,1696,Zombie halb und halb,2000
960,1703,Cold Grows the Season,2004
961,1705,Under the Blade I Die,2007
962,1705,Chronology of Satanic Events,2013
963,1705,Indescribable Physiognomy of the Devil,2016
964,1707,In the Suns Dead Rays,2004
965,1707,Bloodfire Sunset,2007
966,1707,Christus Deathshead,2011
967,1707,Pantheist,2014
968,1709,The Contaminated Void,2006
969,1709,Rotting Paradise,2008
970,1709,The Doomsayer's Call,2012
971,1710,Mentale Impotenz,2001
972,1712,Worldwide Extinction,2008
973,1716,Comandatory,1996
974,1717,The Ultimate Revenge,2015
975,1718,Warhead,2016
976,1720,The Coffin Earth's Entrails,2014
977,1721,Megatrends in Brutality,1992
978,1721,Converging Conspiracies,1993
979,1721,Fable Frolic,1995
980,1723,World's Destructive Domination,2006
981,1723,The Enemies We Create,2008
982,1724,Brutal Carnage,2009
983,1725,Crónica del dolor,2010
984,1730,Breed Out the Bastards,2011
985,1730,Compulsive Repulsive,2014
986,1731,...and the Death of Vanity,1999
987,1733,Critique of Pure Treason,2012
988,1735,Dawn of Revival,2013
989,1735,Chambers of Afterlife,2015
990,1738,Deny Existence,2014
991,1740,A Dying Art,2010
992,1742,Nuke First... Ask Questions Later,2009
993,1745,Inside,2010
994,1761,Spirals II Infinity,2004
995,1762,Corpsegod,2016
996,1766,Post Mortem,2007
997,1769,Death at the Gates of Delirium,2010
998,1771,Your Ashes Are Nothing,2014
999,1772,...and Another Sickness Dinner,2005
1000,1773,Edge of Darkness,2005
1001,1773,Clinically Dead,2012
1002,1775,100% Hate,1999
1003,1775,Zoom,2001
1004,1779,Abandon Your Lord,2009
1005,1780,Only the Strong,2004
1006,1782,Envoys of Extinction,2014
1007,1783,World Without God,1991
1008,1783,Reflections,1994
1009,1783,Evil Prevails,2013
1010,1783,Cycle of Revenge,2016
1011,1790,Cínica redención,2015
1012,1792,35 Minutes of Skull-Smash-Terror Metal,2007
1013,1792,D.E.A.T.H.,2011
1014,1795,Through Chaos and Disharmony,1998
1015,1796,The Return of Deaths Glorious Design,2014
1016,1798,The Gift of Foresight,2001
1017,1802,Exhumation Sessions,2006
1018,1802,Religious Genocide,2009
1019,1804,Profaned Relics,1992
1020,1804,Into the Nerve of Pain,1994
1021,1804,Stonefield of a Lifetime,1997
1022,1805,Nonconformism,2005
1023,1806,Terminate Existence,2008
1024,1806,Angels & Worms,2013
1025,1808,Arrived in Pieces,2007
1026,1808,Abhorrogenesis,2016
1027,1813,From the Grave,1997
1028,1819,Burnt by the Light,2012
1029,1819,Entheogen,2015
1030,1821,Persistence,2001
1031,1821,Celebration of Hate,2003
1032,1821,Hail to Death Metal Legion,2007
1033,1821,Apocalyptic Terror,2011
1034,1821,Perpetual Purgatory,2015
1035,1827,Xeno - Intelligent Design,2009
1036,1828,Drowning in Puke,1999
1037,1833,Abysmal Thresholds,2014
1038,1834,Ruins,2011
1039,1834,No Rest,2013
1040,1835,Raping the Ears of Those Above,2001
1041,1836,Graves of Ashes,2011
1042,1837,Deformation,1996
1043,1839,Watching the Thinker,2005
1044,1839,The Stench of Humanity,2007
1045,1847,Rituals of Silence,1991
1046,1848,Join Us,2003
1047,1850,Wrath of the Ungod,2004
1048,1852,Composition of Flesh,2012
1049,1852,Forsaken Lands,2015
1050,1860,Corruption of Virtue,2002
1051,1861,Anachoreo,2012
1052,1861,Touching the Void,2016
1053,1864,Kalokagathia,2000
1054,1864,Fravashi,2003
1055,1867,And Insanity Begins,1993
1056,1868,Vivere Peri Coloso,1998
1057,1870,Exit,1996
1058,1870,Earth Gravitation,1997
1059,1870,The Gate of Immortality,2000
1060,1870,Ten Years After,2003
1061,1870,Reunion,2012
1062,1871,Dented Reality,2007
1063,1872,Lost on Dead Dominions,2015
1064,1879,The Human Killing,1995
1065,1879,Starvation,1996
1066,1880,The Dead Will Feast,2006
1067,1884,New Murder Art,2008
1068,1886,Enter the Realm of Chaos,2001
1069,1886,Carved into Flesh,2012
1070,1890,Worship or Die,2008
1071,1890,Death's Construction,2013
1072,1893,Creature from...,2014
1073,1898,Run in Dawn,2006
1074,1898,Manhunter,2010
1075,1907,Hate Contamination,2002
1076,1908,Retaliation,2002
1077,1910,Ignis,1999
1078,1910,Grotesque Humanity,2002
1079,1910,Rise of the Phoenix,2012
1080,1919,Witness of Human Brutality,2016
1081,1921,Gates to Obscurity,2010
1082,1921,The Vile Vortex,2012
1083,1929,Future of the Loss,2008
1084,1933,Fleshdance,2012
1085,1933,Social Born Killer,2014
1086,1934,=ver.1.5.6,2015
1087,1935,Unearthed,1994
1088,1935,Dissection,1997
1089,1935,Purification,2002
1090,1936,Immortal Disease,2005
1091,1936,Even Worst,2009
1092,1943,The Dominant,2005
1093,1944,Antropofagia,2016
1094,1945,Ressurection,1999
1095,1945,Killers of God,2001
1096,1945,Beyond Death,2002
1097,1948,Another Day of Torment,2016
1098,1950,Spitting Blood of Hate on Mankind,2004
1099,1951,Postrauma,2010
1100,1958,The Outer Dark,2012
1101,1961,Following Orpheus,2003
1102,1963,One Life Is Not Enough,1992
1103,1963,Todos tenemos el mal,2015
1104,1965,Uncut View of Sickness,2006
1105,1967,Dwelling in the Vastlands of Sodom,2005
1106,1969,Infernvs Dominatvs,2011
1107,1971,Charnel Passages,2015
1108,1975,Portals to the Beyond,2010
1109,1978,Church of the Demonic Dead,2010
1110,1978,New Order of Blasphemy,2011
1111,1983,Desert of Shattered Hopes,1993
1112,1983,Paths Less Taken,1998
1113,1986,Atavism,1993
1114,1990,Infernal Earthly Divine,2010
1115,1990,Black Magic Fire,2014
1116,1991,From Ashes to Hell,2015
1117,1997,Maybe the Legend Is Better,2013
1118,1997,The Man| the Myth| the Legend,2016
1119,1999,Real,1999
1120,1999,Eclipsed,2001
1121,1999,Torrential Dementia,2003
1122,2002,Corporal Punishment,1992
1123,2003,Bloodfield in Hell,2008
1124,2003,Viking Winter,2009
1125,2003,Legends,2010
1126,2003,Member of the Unholy Society,2010
1127,2003,Ascension of Ules,2011
1128,2003,Black Book,2012
1129,2003,Frozen Soul,2013
1130,2003,Evoking the Power of Chaos,2013
1131,2003,Undead Warrior,2014
1132,2003,Never-Ending Battle Against the Human Plague,2015
1133,2005,Shapes of Inner Urge,1996
1134,2010,Creation of the New World,2011
1135,2012,El-Niño,1998
1136,2014,Disentanglement,2015
1137,2021,Paramecium Caudatum,2014
1138,2023,Betrayed,2012
1139,2023,Passionate,2016
1140,2028,Embedded in Blood ...Feudal Delirium,2004
1141,2036,Pathomiosis,2004
1142,2037,Dedicated to the Impure,2005
1143,2037,They Called Me Mad!,2008
1144,2037,The Barrens,2013
1145,2040,There Is No Hope...Beyond Mutation,2015
1146,2044,Far Beyond Divine Horizons,1995
1147,2052,In Charnel Lights,2015
1148,2058,The Suffering,1998
1149,2069,Forensic Nightmares,2015
1150,2070,Morbid Mental Disorder,2005
1151,2072,Methods,1999
1152,2072,Conceiving Abhorrence,2008
1153,2072,Perpetuation of Eradication,2010
1154,2074,Impressions of Hate,1996
1155,2075,Transcend,2000
1156,2078,Obsidian Nothingness,2016
1157,2080,Return of the Dominant Supremacy,2004
1158,2085,Slaves to the Moment,2015
1159,2085,Empty Vessel,2016
1160,2087,Bleed Your Mind,2003
1161,2088,High Binder,2003
1162,2090,Vermächtnis,2006
1163,2090,Forbidden Anger,2010
1164,2090,The Mean Hour,2013
1165,2095,Murderous Power,2012
1166,2095,Blitzkrieg,2015
1167,2097,Vicious Ruthless Bloodshed,2015
1168,2099,Descendant Upheaval,1989
1169,2099,Molecular Shadow,1992
1170,2100,Daargesin,1995
1171,2100,Dracul,2002
1172,2100,Polarnacht,2010
1173,2102,Where It Dwells,2011
1174,2102,Beasts of Tribulation,2015
1175,2108,Host of Rotting Flesh,2009
1176,2108,Deadwork,2012
1177,2115,The Advent,1993
1178,2117,Primal,1999
1179,2117,New Year War,2000
1180,2117,In Killing Form,2007
1181,2125,The Prophet Revenge,2016
1182,2126,Reborn...,1995
1183,2126,Rebel Souls,1996
1184,2126,Resist,2000
1185,2127,Spineless Skies,2004
1186,2136,Darkness Comes...,1992
1187,2143,Days of the Mosh,2008
1188,2143,Murder Motel,2014
1189,2145,Century of Blood,2011
1190,2145,Insanity,2012
1191,2146,Screaming in Horror,2007
1192,2147,Unholy Hate Gore,2004
1193,2147,Kill Everything - Worship Nothing,2006
1194,2150,Terrains Vagues,2007
1195,2151,InFusion,2012
1196,2151,Cyber Nation,2016
1197,2153,Reborn,1992
1198,2155,Los Muertos,2007
1199,2158,Bloodshed,2001
1200,2158,Eternity of Nothing,2003
1201,2167,Prisoner of Imagination,2006
1202,2168,Death Manifestation,2002
1203,2168,Planet Earth Scourged,2006
1204,2168,A Construct to Obliterate,2009
1205,2169,Under Ravenwings,2008
1206,2171,The Frozen Memories,2000
1207,2171,Evil and Passion,2003
1208,2171,...in Death...,2005
1209,2172,Trendkill,2009
1210,2173,Full Eclipse,1995
1211,2176,Perfect Society,1994
1212,2186,Requiem,1994
1213,2189,Delirious Excursion,2016
1214,2202,Sigillum Daemones,2015
1215,2203,The Law of the Strong,2004
1216,2203,Sedition,2005
1217,2203,Relentless,2009
1218,2203,The Tides of Damocles,2015
1219,2205,The Need to Feed,2015
1220,2206,New Hell,1998
1221,2208,Hate Takes Its Form,2007
1222,2208,A Force Unstoppable,2010
1223,2208,Rejoice in Vengeance,2012
1224,2208,The Suffering,2016
1225,2210,Legends of Brutality,2011
1226,2210,Crypts of the Unrotten,2012
1227,2210,Worship the Grave,2016
1228,2217,Tomb of Corporeal Butchery,2001
1229,2218,Ashes,2012
1230,2219,Night of Horror,2006
1231,2219,Slaves to Insanity,2010
1232,2219,The Gates of Hell,2014
1233,2220,Dead Burning to Ashes,2012
1234,2229,Deceitful Wisdom,2016
1235,2230,Gross Abnormalities,2006
1236,2232,Where Hope Turns Dripping Red,2013
1237,2234,Condemned to Misery,2007
1238,2234,Inheritors of Hell,2010
1239,2234,The Dark Era,2012
1240,2236,Path of the Plague,2007
1241,2237,A Blind Is Leading a Blind,2005
1242,2239,Memories of Yesterday,2008
1243,2239,Start the Killing,2011
1244,2239,Harmony Hell Decade,2014
1245,2240,Engorged in Sacrilege,2002
1246,2242,Graves of the Archangels,2008
1247,2242,Promulgation of the Fall,2014
1248,2245,To Reconciled Solitude,2009
1249,2246,In Memory of Mankind,2007
1250,2246,Through Forests of Nonentities,2009
1251,2246,Observing Oblivion,2011
1252,2246,Gomorrh.,2016
1253,2248,Returning from Decay,2009
1254,2249,Inner Fear,1998
1255,2250,Enter the Threshold,2012
1256,2251,...When Your Soul Is the Sickness,2000
1257,2251,...Let Them Suffer,2004
1258,2251,...God and the Devil,2008
1259,2252,Venture,1994
1260,2252,Act II,2001
1261,2254,Drowning,2006
1262,2256,Deathless Torture,2003
1263,2256,Conscious Cremation,2011
1264,2257,Death Is an Artform,2012
1265,2258,Rise,2006
1266,2263,Unconscious Dream,2011
1267,2265,The Clockwise Charade,2013
1268,2266,The Carrion Creed,2007
1269,2268,Social Therapy,2012
1270,2269,Doorways to Digestion,2014
1271,2270,Mirror the Humans,2004
1272,2270,Algolagnia - Death Sex in Milk and Blood,2012
1273,2272,D.W.R.,2005
1274,2274,The Dead One,2003
1275,2276,Freaks,2015
1276,2278,Unreleased Hate,1998
1277,2278,World War III,2008
1278,2279,How to Raise a Serial Killer,1995
1279,2281,Walking the Path of Recoil,2011
1280,2283,...как прекрасен этот мир - Беседы о жизни и смерти,2009
1281,2288,Cape Fear,2010
1282,2289,From Beyond the Dark,2008
1283,2289,Forced into Atrocities,2012
1284,2294,Days of Struggle,2005
1285,2295,They Die We Fight,2007
1286,2295,Plotting Merciless Retribution,2009
1287,2297,Emissions of Reality,1999
1288,2298,Eradication,2005
1289,2301,My Blood Is the Seed of the Beast,2002
1290,2303,Walk the Way of Death,2005
1291,2304,Gates of Tyranny,2005
1292,2305,Carcinogenic Memories,2012
1293,2308,Creatures of Opportunity,2010
1294,2308,Sometimes Dead Is Better,2012
1295,2309,Stinking Up the Night,2006
1296,2311,Discreation,2004
1297,2313,Short Memory,2000
1298,2315,World Grave,2012
1299,2318,Mundus Somniorum,2011
1300,2319,House of Deformed,2011
1301,2322,The Sum of Slaughter,2011
1302,2325,Hang Myself,1997
1303,2329,Viral Apocalypse,2007
1304,2330,Nebula,2010
1305,2330,Death I Am,2016
1306,2331,Funeral of Faith,2005
1307,2333,Hordes of Eternal Devastation,2014
1308,2340,Beyond the Flesh,2011
1309,2342,A Tribute to Madness,2016
1310,2343,Pernicious Conjure,1996
1311,2344,Different Ways of Feeling Pain,2012
1312,2346,Conviction,1998
1313,2348,Mission Accomplished,1995
1314,2351,Imagination World,1995
1315,2352,A Whisper in the Storm,2005
1316,2355,Into the Crypt,1994
1317,2355,Conflict,1998
1318,2358,Fuckin' Death,1991
1319,2361,Immortal,2015
1320,2363,Defecation Suffocation,2010
1321,2363,Infection Legacy,2013
1322,2364,Gutted by Horrors,2014
1323,2365,Death Vomit,1993
1324,2368,Subyugador - In Goat We Trust,2014
1325,2371,Running Out of Life,2014
1326,2372,First World Wasteland,2009
1327,2373,New World Order,2015
1328,2376,Monotremata,2006
1329,2378,World Evilution,2010
1330,2382,Beasts of Faith,2016
1331,2383,The Living| the Dying and the Damned,2009
1332,2388,The Chalice of Ages,2007
1333,2390,Shotgun Surgery,2015
1334,2391,MMXXII,2001
1335,2392,Born in Hell,1995
1336,2392,Bleeding and Praying,1998
1337,2394,Demise Inception,2007
1338,2396,Thronelord,2014
1339,2398,Spearhead of Iron,2012
1340,2399,Deathning,2007
1341,2401,Godwork,2013
1342,2402,Hallow the Dead,2014
1343,2407,Golden Feathers,2010
1344,2407,Beyond All Fears,2013
1345,2408,Nechesh,2013
1346,2411,...and Left Will Be None,2012
1347,2418,Dreams Kill on Command,2008
1348,2418,Crush| Kill and Burn,2010
1349,2420,Relentless,1999
1350,2421,Hacked to Death,2003
1351,2422,Antikristian Extreme Dekapitation,2008
1352,2422,The Vanishment and Extermination of the Deities,2010
1353,2422,The Perishing Empire of Lies,2013
1354,2422,Arcane Impurity Ceremonies,2014
1355,2423,Path of Death,2002
1356,2432,Apostasy,2005
1357,2433,Depopulation,2010
1358,2433,The Rot Box,2012
1359,2434,Encirclement,2012
1360,2434,The Last Days of War,2013
1361,2434,One to Conquer,2014
1362,2440,Heretic Victory,2015
1363,2445,Lost Souls,2001
1364,2445,Nightmare,2002
1365,2445,Unreleased Materials,2004
1366,2446,Nuclear Wind,2004
1367,2446,Nails Sticking Offensive,2007
1368,2446,Inferno,2011
1369,2448,Decerebration,1998
1370,2448,Decerebration,2015
1371,2450,The Powers of Alcohol,2008
1372,2452,Meat Show,2006
1373,2456,The Undead Shall Inherit,2010
1374,2459,The Unholy Days of Slaughter,2010
1375,2461,Lord of Mercy,2009
1376,2463,The Inevitable End,2011
1377,2468,Decomposed,2012
1378,2468,Devouring,2014
1379,2468,Wither,2016
1380,2471,Torn from the Womb,2006
1381,2473,Diagnosis: Sick,2003
1382,2473,Caged in Chaos,2004
1383,2473,Death Roulette,2006
1384,2475,The Last Prayer,2000
1385,2475,Bestiality,2008
1386,2477,So It Begins,2015
1387,2478,Brutal Massacre of Crowds,2010
1388,2480,From the End to Inseminate,2007
1389,2483,Paralyzed Will,2012
1390,2484,Devoted to Death,2011
1391,2484,Osseous Empire,2015
1392,2487,Putrid Stench of Psychotic Acts,2009
1393,2487,The Beginning of Depravity,2011
1394,2490,Condemned Cathedral,2008
1395,2490,Beyond the Cursed Tombs,2010
1396,2490,Profane Doctrines Unburied,2011
1397,2494,Codex Sinaiticus,1997
1398,2496,The Reach of Envy,1997
1399,2496,Pieces of Nothing,2000
